# 词影迷踪词库数据
# 每行「分类|词1 词2 …」，词尾 * 表示难词。去重由脚本处理。

# ============ 传统文化子集（约 7%，作点缀） ============
节气|立春 雨水 惊蛰 春分 清明 谷雨 立夏 小满 芒种 夏至 小暑 大暑 立秋 处暑 白露 秋分 寒露 霜降 立冬 小雪 大雪 冬至 小寒 大寒
职场|上班 下班 加班 出差 请假 调休 打卡 考勤 迟到 早退 旷工 全勤 工资 薪水 月薪 年薪 底薪 提成 奖金 年终奖 补贴 津贴 五险一金 社保 公积金 医保 失业保险 工伤保险 生育保险 合同 劳动合同 试用期 转正 离职 辞职 裁员 解雇 跳槽 升职 加薪 降职 调岗 轮岗 内推 招聘 面试 简历 求职 应聘 录用 入职 报到 培训 新人 员工 同事 上司 老板 领导 下属 团队 部门 小组 会议 例会 晨会 周报 月报 季度 考核 绩效 目标 任务 项目 方案 策划 执行 汇报 总结 复盘 文档 表格 幻灯片 演示 提案 谈判 签约 盖章 审批 流程 报销 发票 台账 考勤表 值班 排班 换班 交接 接班人 实习 见习 兼职 全职 自由职业 斜杠青年 打工人 社畜 内卷 躺平 摸鱼 划水 带薪 白领 蓝领 金领 996 007 大小周 单休 双休 弹性工作 远程办公 居家办公 办公室 工位 卡座 会议室 茶水间 休息区 门禁卡 工牌 工服 工装 安全帽 劳保 工伤 职业病 维权 仲裁 工会 职工 下岗 退休 返聘 养老金 退休金 办公桌 办公椅 白板 马克笔 便利贴 订书机 打孔机 碎纸机 传真机 复印机 扫描仪 名片 名片夹 邮箱 邮件 工作群 会议纪要 工作日志 周计划 月计划 年度计划

# ============ 日常生活 ============
商业|商店 超市 便利店 商场 购物中心 店铺 门面 摊位 地摊 夜市 早市 集市 批发市场 菜市场 水果店 面包店 蛋糕店 奶茶店 咖啡店 餐厅 饭店 小吃店 快餐店 面馆 饺子馆 火锅店 烧烤店 烧烤摊 大排档 酒吧 茶馆 书店 文具店 花店 药店 眼镜店 服装店 鞋店 珠宝店 金店 手机店 电脑城 数码店 家具城 建材市场 五金店 杂货店 二手店 古玩店 当铺 典当行 银行 证券 保险 股票 基金 债券 期货 外汇 理财 存款 贷款 信用卡 借记卡 存折 现金 零钱 硬币 纸币 支付宝 微信支付 扫码 收款 付款 转账 汇款 提现 充值 账单 发票 收据 小票 优惠 打折 促销 特价 清仓 甩卖 秒杀 抢购 团购 拼单 预售 定金 尾款 分期 按揭 分期付款 会员 积分 返利 满减 满赠 赠品 抽奖 中奖 代金券 优惠券 购物券 提货券 消费券 发票 增值税 所得税 营业税 关税 报税 纳税 偷税 漏税 避税 税务 记账 结账 盘点 库存 进货 出货 批发 零售 直销 代销 分销 加盟 连锁 品牌 商标 专利 版权 执照 许可证 营业执照 注册 注销 变更 转让 合同 协议 订单 定金 违约金 赔偿 索赔 投诉 维权 消费者 权益 假货 正品 水货 行货 山寨 盗版 侵权 抄袭 仿冒 质检 认证 三包 退换 保修 售后 客服 热线 400电话 评价 口碑 好评率 销量 爆款 冷门 滞销 畅销 断货 补货 上新 下架 上架 库存 缺货 现货 期货 物流 快递 发货 收货 签收 退货 换货 退款 运费 包邮 到付 自提 配送 同城 次日达 顺丰 中通 圆通 申通 韵达 京东物流 菜鸟 驿站 快递柜 代收点
情感|开心 快乐 高兴 愉快 欢喜 喜悦 幸福 甜蜜 温馨 温暖 感动 感激 感恩 满足 知足 自豪 骄傲 自信 乐观 开朗 兴奋 激动 惊喜 开心 难过 伤心 悲伤 悲哀 悲痛 痛苦 心疼 心酸 委屈 郁闷 沮丧 失望 绝望 后悔 遗憾 内疚 惭愧 羞愧 尴尬 害羞 紧张 焦虑 不安 害怕 恐惧 惊慌 慌张 愤怒 生气 恼火 愤怒 烦躁 苦恼 烦心 憋屈 孤独 寂寞 空虚 无聊 无趣 好奇 惊讶 吃惊 意外 惊喜 羡慕 嫉妒 妒忌 吃醋 讨厌 厌恶 反感 鄙视 轻视 尊重 敬佩 崇拜 仰慕 爱慕 喜欢 喜爱 疼爱 宠爱 想念 思念 牵挂 惦记 担心 操心 放心 安心 省心 顾虑 犹豫 纠结 矛盾 迷茫 困惑 疑惑 怀疑 信任 信赖 依赖 依靠 安慰 安抚 鼓励 支持 陪伴 关怀 体贴 照顾 呵护 理解 包容 原谅 宽容 体谅 接纳 拒绝 讨厌 嫌弃 排斥 疏远 冷漠 冷淡 热情 热心 亲切 友好 和善 善良 真诚 诚恳 坦率 直率 直爽 温柔 体贴 细心 耐心 粗心 马虎 谨慎 稳重 冲动 任性 倔强 固执 执着 坚持 坚强 勇敢 胆小 懦弱 怯懦 内向 外向 活泼 安静 文静 腼腆 大方 豪爽 幽默 风趣 有趣 无趣 木讷 迟钝 机灵 聪明 伶俐 机智 蠢笨 愚笨 糊涂 迷糊 健忘 粗心
动作|跑步 走路 散步 跳跃 蹦跳 奔跑 冲刺 慢跑 快跑 走路 站立 坐着 躺着 趴着 蹲着 跪着 弯腰 转身 回头 抬头 低头 点头 摇头 挥手 招手 握手 拍手 鼓掌 拥抱 牵手 拉手 亲吻 亲嘴 拥抱 摔倒 跌倒 滑倒 撞到 碰倒 跌倒 爬起来 站起来 坐下 躺下 起床 睡觉 醒来 洗漱 刷牙 洗脸 洗澡 洗头 梳头 照镜子 化妆 打扮 穿衣 脱衣 穿鞋 脱鞋 戴帽子 系鞋带 吃饭 喝水 做饭 炒菜 切菜 洗菜 洗碗 扫地 拖地 擦桌子 洗衣服 晾衣服 叠衣服 叠被子 铺床 整理 收拾 打扫 擦洗 清洗 修理 安装 拆卸 搬运 搬东西 提东西 拎东西 拿东西 放下 举起 抬起 打印 复印 盖章 签字 签名 数数 计算 测量 称重 打包 包裹 拆开 打开 关上 锁门 开门 关窗 开窗 逃跑 追赶 追逐 玩耍 游戏 唱歌 跳舞 弹琴 画画 拍照 摄像 录像 打电话 接电话 发短信 发消息 刷手机 玩手机 上网 浏览 搜索 下载 上传 分享 发布 转发 评论 点赞 收藏 关注 订阅 取消 登录 退出 注册 填写 提交 确认 取消 保存 删除 修改 编辑 添加 新建 复制 粘贴 剪切 撤销 重做 查找 替换 打印 保存
文具工具|钢笔 圆珠笔 铅笔 自动铅笔 签字笔 中性笔 水笔 马克笔 记号笔 荧光笔 蜡笔 油画棒 水彩笔 毛笔 粉笔 白板笔 笔芯 墨水 墨水瓶 橡皮 橡皮擦 修正带 修正液 涂改液 削笔刀 卷笔刀 文具盒 铅笔盒 笔袋 尺子 直尺 三角尺 量角器 圆规 计算器 订书机 订书针 回形针 图钉 大头针 别针 夹子 长尾夹 文件夹 文件袋 档案袋 信封 信纸 便签 便签纸 便利贴 记事本 笔记本 作业本 练习本 草稿本 日记本 账本 台历 日历 挂历 书签 书皮 书套 包书纸 胶水 固体胶 双面胶 透明胶 胶带 美工刀 剪刀 裁纸刀 打孔机 起钉器 印章 印泥 印台 复写纸 描红本 字帖 毛笔字 钢笔字 粉笔字 板擦 黑板擦 黑板 白板 讲台 课桌 课椅 书包 单肩包 帆布包 购物袋 环保袋 编织袋 麻袋 蛇皮袋 工具箱 螺丝刀 扳手 钳子 锤子 锯子 锉刀 刨子 凿子 卷尺 皮尺 水平尺 游标卡尺 天平 砝码 电子秤 台秤 杆秤 温度计 湿度计 气压计 指南针 放大镜 显微镜 手电筒 电池 灯泡 电线 插头 插座 开关 保险丝 焊枪 电烙铁 胶枪 热熔胶 砂纸 砂布 砂轮 磨刀石 油石 润滑油 螺丝 螺母 螺栓 垫圈 弹簧 轴承 齿轮 链条 皮带 钢丝 铁丝 铜丝 铝丝 麻绳 尼龙绳 棉绳 棕绳 草绳 晾衣绳

# ============ 色彩、时间与空间 ============
颜色|红色 橙色 黄色 绿色 青色 蓝色 紫色 粉色 白色 黑色 灰色 棕色 褐色 金色 银色 铜色 米色 卡其色 驼色 藏青色 天蓝色 湖蓝色 宝蓝色 深蓝色 浅蓝色 淡蓝色 深绿色 浅绿色 墨绿色 草绿色 苹果绿 荧光绿 军绿色 深红色 浅红色 粉红色 桃红色 玫红色 玫红 酒红色 枣红色 砖红色 紫红色 深紫色 浅紫色 蓝紫色 淡紫色 咖啡色 巧克力色 栗色 姜黄色 柠檬黄 鹅黄色 杏色 奶白色 象牙白 米白色 纯白 银白 灰白 漆黑 深灰 浅灰 银灰 墨色 漆黑 宝蓝 藏蓝 天蓝 湖蓝 嫩绿 翠绿 碧绿 青绿 军绿 粉紫 紫罗兰 藕荷 藕粉 肤色 透明 无色 彩色 单色 双色 三色 渐变色 纯色 花色 条纹 格子 斑点 豹纹
时间|早上 早晨 清晨 上午 中午 下午 傍晚 黄昏 晚上 夜晚 深夜 半夜 凌晨 黎明 破晓 拂晓 今天 明天 昨天 前天 后天 大后天 现在 过去 将来 未来 刚才 刚刚 马上 立刻 立即 瞬间 眨眼 片刻 一会儿 半天 一天 两天 一周 一个月 一年 十年 世纪 年代 时代 时刻 时间 小时 分钟 秒钟 午夜 子夜 白天 黑夜 今日 明日 昨日 礼拜一 星期一 星期二 星期三 星期四 星期五 星期六 星期日 周末 工作日 节假日 假期 寒假 暑假 生日 纪念日 周年 每天 每周 每月 每年 经常 偶尔 有时 时常 常常 向来 永远 永久 长久 短期 长期 暂时 临时 定期 不定期 期限 到期 过期 提前 推迟 准时 按时 迟到 早退 季节 春季 夏季 秋季 冬季 春分 夏至 秋分 冬至 一刻 时辰 年代 纪元 公元 农历 公历 阳历 阴历 日历 钟表 怀表 手表 挂钟 闹钟 沙漏 日晷

# ============ 休闲与艺术 ============
旅游|旅行 旅游 度假 出差 观光 游览 景点 景区 名胜 古迹 风景 风光 山水 海滩 海岛 温泉 古镇 古城 园林 寺庙 教堂 博物馆 美术馆 纪念馆 主题公园 游乐园 动物园 植物园 水族馆 海洋馆 公园 爬山 登山 徒步 骑行 自驾 露营 野餐 烧烤 篝火 摄影 拍照 打卡 网红地 民宿 酒店 宾馆 青旅 背包客 驴友 跟团 自由行 自助游 出境 入境 护照 签证 机票 车票 船票 火车票 高铁票 机票 酒店预订 门票 导游 讲解 地图 攻略 行程 路线 目的地 出发 到达 返程 转机 直飞 经停 托运 行李 行李箱 双肩包 登山杖 帐篷 睡袋 防潮垫 炉头 气罐 头灯 手电 保温杯 水壶 急救包 防晒霜 驱蚊液 泳衣 泳镜 浴巾 相机 自拍杆 无人机 充电宝 转换插头 插座 漫游 流量 信号 定位 导航 分享 游记 朋友圈 纪念品 特产 手信 明信片 邮戳 合影 自拍 风景照 网红打卡 玻璃栈道 索道 缆车 观光车 摆渡车 游船 竹筏 皮划艇 潜水 浮潜 冲浪 跳伞 滑翔 热气球
艺术手工|画画 绘画 素描 速写 水彩画 油画 版画 国画 水墨画 工笔画 油画棒 蜡笔 水彩笔 颜料 画笔 画板 画架 调色盘 调色板 画纸 宣纸 卡纸 彩纸 剪纸 折纸 手工 手工课 陶艺 泥塑 雕塑 雕刻 木雕 石雕 玉雕 冰雕 沙雕 根雕 编织 十字绣 刺绣 钩针 棒针 毛线 布料 针线 缝纫 缝补 补丁 扎染 蜡染 印染 拓印 版画 篆刻 印章 书法 毛笔字 硬笔书法 春联 福字 窗花 中国结 串珠 珠串 手链 项链 手镯 耳环 发饰 玩偶 布偶 泥人 面人 糖人 皮影 木偶 风筝 灯笼 花灯 香囊 荷包 布艺 拼布 贴花 涂鸦 喷绘 墙绘 彩绘 纹身 美甲 化妆 造型 设计 装裱 裱画 相框 相册 影集 胶卷 底片 冲洗 打印 塑封 过塑 装订 手账 手账本 胶带 贴纸 印章 火漆 封蜡 手写信 明信片 贺卡 贺年卡 邀请函 请柬
形状计量|形状 圆形 方形 正方形 长方形 三角形 菱形 梯形 五边形 六边形 八边形 多边形 椭圆 半圆 扇形 弧形 直线 曲线 斜线 平行线 垂直线 对角线 直角 锐角 钝角 平角 周角 顶点 三角 正方 长方 球体 立方体 圆柱 圆锥 圆台 棱柱 棱锥 四面体 球体 圆柱体 圆锥体 长度 宽度 高度 深度 厚度 面积 体积 周长 直径 半径 周长 面积 体积 距离 远近 大小 长短 高矮 胖瘦 宽窄 厚薄 粗细 深浅 轻重 快慢 多少 上下 左右 前后 内外 中间 旁边 上面 下面 里面 外面 前面 后面 左边 右边 东边 西边 南边 北边 中心 边缘 角落 拐角 顶端 底端 正面 反面 侧面 剖面 截面 交叉 重叠 平行 垂直 水平 倾斜 弯曲 笔直 圆圈 环状 网状 螺旋 波浪 直线 折线 虚线 实线 边框 轮廓 对称 不对称 规则 不规则 均匀 均匀 参差 整齐 凌乱
自然元素|闪电 空气 氧气 氢气 氮气 二氧化碳 一氧化碳 天然气 煤气 石油 汽油 柴油 酒精 油漆 颜料 染料 石灰 水泥 石膏 玻璃 陶瓷 塑料 橡胶 皮革 金属 钢铁 金银 白金 铂金 钻石 翡翠 玛瑙 琥珀 珍珠 珊瑚 水晶 石英 石墨 硫磺 硝石 火药 炸药 烟雾 蒸汽 火焰 火花 火星 灰烬 尘土 泥土 岩石 矿石 矿物 化石 原油 沥青 焦炭 木炭 竹炭 活性炭 过滤棉 滤网

# ============ 补充现代分类 ============
零食甜品|薯片 虾条 辣条 果冻 布丁 雪糕 冰淇淋 冰棍 棒棒糖 泡泡糖 口香糖 巧克力 奶糖 软糖 硬糖 棉花糖 方便面 泡面 干脆面 火腿肠 肉松 鱼干 鱿鱼丝 牛肉干 猪肉脯 海苔 锅巴 虾片 蚕豆 怪味豆 开心果 瓜子 南瓜子 西瓜子 花生米 腰果 核桃 巴旦木 碧根果 夏威夷果 榛子 松子 杏仁 葡萄干 蔓越莓干 芒果干 猕猴桃干 话梅 乌梅 山楂片 果丹皮 糖炒栗子 米花糖 酥糖 牛轧糖 太妃糖 巧克力豆 麦片 燕麦片 饼干 苏打饼干 威化饼 夹心饼干 曲奇 蛋卷 沙琪玛 麻薯 糯米糍 双皮奶 杨枝甘露 烧仙草 芋圆 冰粉 凉粉 冰沙 圣代 甜筒 龟苓膏 慕斯 提拉米苏 马卡龙 甜甜圈 松饼 华夫饼 可丽饼 泡芙 芝士蛋糕 慕斯蛋糕 千层蛋糕 戚风蛋糕 纸杯蛋糕 奶油蛋糕 水果蛋糕 冰淇淋蛋糕 凤梨酥 蛋黄酥 老婆饼 老公饼 蝴蝶酥 芝士 奶酪 黄油 奶油 炼乳 果酱 花生酱
家庭称呼|爸爸 妈妈 爷爷 奶奶 外公 外婆 叔叔 阿姨 舅舅 舅妈 姑姑 姑父 伯父 伯母 婶婶 哥哥 姐姐 弟弟 妹妹 堂哥 堂姐 表哥 表姐 侄子 侄女 外甥 外甥女 儿子 女儿 孙子 孙女 女婿 儿媳妇 岳父 岳母 婆婆 公公 老公 老婆 妻子 丈夫 爱人 情侣 恋人 对象 单身 夫妻 两口子 继父 继母 养父 养母 干爹 干妈 师兄 师弟 师姐 师妹 学弟 学妹 学长 学姐 前辈 晚辈 长辈 平辈 同辈 亲戚 家属 家人 亲人 邻居 老乡 朋友 闺蜜 死党 知己 知音 室友 舍友 笔友 同事 同学 校友 搭档 伙伴 合伙人 网友 情侣 伴侣
金融理财|存钱 取钱 存钱罐 零花钱 压岁钱 红包 转账 汇款 存款 取款 利息 利率 本金 本息 存单 存折 银行卡 信用卡 借记卡 工资卡 一卡通 交通卡 饭卡 门禁卡 会员卡 积分卡 贵宾卡 充值卡 电话卡 手机卡 流量卡 流量包 套餐 话费 月租 漫游 长途 短信包 股票 炒股 股民 股东 基金 债券 国债 期货 外汇 黄金 白银 保险 保费 理赔 报销 养老金 退休金 公积金 社保 医保 个税 起征点 退税 缴税 纳税 报税 工资条 奖金 年终奖 提成 底薪 加班费 出差补贴 餐补 交通补贴 房补 五险一金 理财 定存 活期 定期 活期存款 定期存款 余额宝 理财产品 信托 私募 公募 大盘 涨停 跌停 牛市 熊市 散户 大户 庄家 机构 操盘 割肉 抄底 满仓 空仓 持仓 加仓 减仓 止损 止盈 分红 配股 增发 上市 退市 新三板 科创板 创业板 主板 打新 中签
装修建材|装修 毛坯房 精装 简装 硬装 软装 瓷砖 地砖 墙砖 木地板 复合地板 实木地板 地毯 壁纸 墙纸 乳胶漆 油漆 涂料 腻子 水泥 沙子 砖头 钢筋 龙骨 石膏板 吊顶 集成吊顶 地暖 暖气 新风 净水器 地漏 水管 电线 网线 插座 开关 灯具 吊灯 吸顶灯 筒灯 射灯 灯带 浴霸 燃气灶 油烟机 水槽 龙头 马桶 花洒 浴缸 淋浴房 浴室柜 镜柜 阳台 飘窗 玄关 鞋柜 衣柜 橱柜 电视墙 沙发墙 踢脚线 门套 窗套 垭口 玻璃 钢化玻璃 夹胶玻璃 磨砂玻璃 铝合金 断桥铝 塑钢 不锈钢 防盗门 防盗窗 纱窗 纱门 门锁 智能锁 指纹锁 门铃 猫眼 窗帘杆 窗帘盒 罗马杆 滑轨 五金 合页 铰链 拉手 门吸 地吸 玻璃胶 结构胶 密封胶 防水 防潮 隔音 保温 甲醛 除甲醛 通风 采光 格局 户型 平米 平方 面积 得房率 公摊
通信通讯|电话 手机 短信 彩信 邮件 视频通话 语音通话 打电话 接电话 挂电话 回拨 占线 忙音 停机 欠费 缴费 漫游 长途 市话 来电 去电 未接 骚扰电话 诈骗电话 广告电话 群发 转发 抄送 密送 附件 收件箱 发件箱 草稿箱 垃圾邮件 已读 未读 已发送 已删除 已归档 通讯录 联系人 群组 群聊 私聊 好友 好友申请 验证消息 添加好友 删除好友 拉黑 屏蔽 置顶 免打扰 消息 未读消息 语音消息 语音条 表情包 表情 动图 贴纸 红包 转账 位置共享 视频聊天 语音聊天 电话会议 视频会议 会议 屏幕共享 投屏 镜像 通话记录 黑名单 白名单 拦截 骚扰拦截 来电显示 呼叫转移 呼叫等待 飞行模式 静音 震动 铃声 彩铃 来电铃声 短信铃声
美容护肤|洗面奶 爽肤水 乳液 面霜 精华 眼霜 面膜 防晒霜 隔离霜 粉底 气垫 口红 唇膏 唇釉 眼影 眼线 睫毛膏 眉笔 腮红 高光 修容 散粉 蜜粉 卸妆水 卸妆油 去角质 磨砂膏 身体乳 护手霜 护足霜 香水 洗发水 护发素 发膜 精油 沐浴露 香皂 肥皂 洗手液 香波 沐浴球 搓澡巾 浴盐 泡泡浴 足浴 泡脚 修眉 画眉 纹眉 绣眉 美瞳 双眼皮 单眼皮 卧蚕 酒窝 祛痘 祛斑 美白 补水 保湿 抗皱 抗衰老 紧致 提亮 焕肤 修护 舒缓 控油 收缩毛孔 去黑头 去粉刺 去眼袋 去浮肿 瘦脸 苹果肌 下颌线 颈纹 法令纹 鱼尾纹 抬头纹 川字纹
户外运动|露营 野餐 爬山 登山 徒步 骑行 钓鱼 放风筝 野炊 观鸟 探险 定向越野 攀岩 速降 漂流 溯溪 滑雪 滑冰 溜冰 打雪仗 堆雪人 放鞭炮 逛庙会 逛公园 遛狗 遛弯 晨练 夜跑 广场舞 太极 八段锦 快走 慢跑 跳绳 踢毽子 打陀螺 抖空竹 抽陀螺 滚铁环 跳房子 跳皮筋 丢沙包 捉迷藏 老鹰捉小鸡 丢手绢 翻花绳 打水漂 捕鱼 捉虾 挖野菜 采蘑菇 摘草莓 野营 越野 山地车 马拉松 半马 全马 健步走 远足 郊游 春游 秋游 冬游 夏令营 冬令营 团建 拓展 拉练 野外生存 篝火晚会
文体用品|篮球 足球 排球 乒乓球 羽毛球 网球 棒球 高尔夫球 台球 球拍 球网 球门 篮球架 篮板 篮筐 乒乓球拍 羽毛球拍 网球拍 棒球棒 高尔夫球杆 球杆 球鞋 球衣 护具 护膝 护腕 护肘 护踝 头盔 泳镜 泳帽 泳圈 浮板 脚蹼 潜水镜 呼吸管 冲浪板 滑板 轮滑鞋 溜冰鞋 冰刀 滑雪板 雪橇 滑板车 平衡车 跳绳 拉力器 哑铃 杠铃 壶铃 瑜伽垫 瑜伽球 弹力带 泡沫轴 健腹轮 跑步机 动感单车 椭圆机 划船机 登山机 健身球 跳马 跳箱 单杠 双杠 吊环 鞍马 平衡木 高低杠 围棋棋盘 象棋盘 棋盘 棋子 国际象棋 跳棋 军棋 扑克 骰子 麻将 桌游 风筝线 鱼竿 鱼线 鱼钩 鱼饵 浮漂 帐篷 睡袋 防潮垫 登山杖 炉头 气罐 头灯 手电筒 保温壶 水壶
餐具|筷子 勺子 叉子 刀子 餐刀 汤匙 漏勺 锅铲 汤勺 饭勺 铲子 打蛋器 开瓶器 开罐器 削皮器 压蒜器 榨汁杯 水杯 马克杯 玻璃杯 茶盘 茶托 饭碗 汤碗 面碗 大碗 小碗 盘子 餐盘 托盘 碟子 蘸碟 调料碟 水果盘 沙拉碗 便当盒 保鲜盒 密封罐 调料罐 盐罐 糖罐 油壶 醋壶 酱油瓶 胡椒瓶 纸巾盒 牙签 牙签盒 一次性筷子 一次性餐具 环保餐具 竹筷 木筷 不锈钢勺 陶瓷碗 玻璃盘 筷子筒 杯垫 杯架 蒸笼 蒸屉 砂锅 石锅 铸铁锅 奶锅 汤锅 平底锅 蒸锅 不粘锅 蒸鱼盘 果盘 茶具 茶海 公道杯 闻香杯 品茗杯 盖碗 紫砂壶









